battery,alpha_e,sigma_T,kstar_event,feasible,beta_event,k,closed_form,monte_carlo,monte_carlo_stderr,relative_error,epsilon,alpha_a,adv_amount,beta_amount
kstar_sensitivity,0.0,250.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.0,500.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.0,1000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.0,1500.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.0,2000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.0,3000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,250.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,500.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,1000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,1500.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,2000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.02,3000.0,0.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,250.0,56803.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,500.0,14201.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,1000.0,3551.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,1500.0,1578.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,2000.0,888.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.05,3000.0,395.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,250.0,591563.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,500.0,147891.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,1000.0,36973.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,1500.0,16433.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,2000.0,9244.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.08,3000.0,4109.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,250.0,2501423.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,500.0,625356.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,1000.0,156339.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,1500.0,69484.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,2000.0,39085.0,True,0.1,,,,,,,,,
kstar_sensitivity,0.09,3000.0,17371.0,True,0.1,,,,,,,,,
mc_verification,,,,,,100.0,0.0739,0.0656,0.0071,-0.1127,,,,
mc_verification,,,,,,500.0,0.0693,0.0711,0.0071,0.0263,,,,
mc_verification,,,,,,1000.0,0.0646,0.0659,0.0071,0.0212,,,,
mc_verification,,,,,,3000.0,0.0523,0.0588,0.0071,0.124,,,,
mc_verification,,,,,,10000.0,0.0352,0.0321,0.0071,-0.0891,,,,
mc_verification,,,,,,50000.0,0.0174,0.0189,0.0071,0.0888,,,,
amount_disclosure,,,,False,,,,,,,0.1,0.0,0.1712,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.05,0.2212,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.1,0.2712,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.2,0.3712,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.5,0.6712,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.1,0.94,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.0,0.4105,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.05,0.4605,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.1,0.5105,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.2,0.6105,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.5,0.9105,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.25,0.94,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.0,0.7093,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.05,0.7593,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.1,0.8093,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.2,0.9093,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.5,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,0.5,0.94,1.0,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.0,0.9493,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.05,0.9993,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.1,1.0,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.2,1.0,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.5,1.0,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,1.0,0.94,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.0,0.9991,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.05,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.1,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.2,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.5,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,2.0,0.94,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.0,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.05,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.1,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.2,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.5,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.85,1.0,0.1
amount_disclosure,,,,False,,,,,,,4.0,0.94,1.0,0.1
